Concept,Formula,When to Use,Common Mistake
Mean,"sum(x) / n","Central tendency of symmetric data","Using mean for skewed data — use median instead"
Median,"Middle value when sorted","Central tendency for skewed data","Not sorting the data first"
Standard Deviation,"sqrt(sum((x - mean)^2) / (n-1))","Measuring spread/variability","Using n instead of n-1 for sample std dev"
Variance,"sum((x - mean)^2) / (n-1)","Spread in squared units","Confusing population (n) vs sample (n-1) variance"
Z-Score,"(x - mean) / std_dev","Standardizing values for comparison","Forgetting to check if data is normally distributed"
Correlation (r),"cov(X,Y) / (std_X * std_Y)","Measuring linear relationship strength","Assuming correlation implies causation"
P-Value,"P(data | null hypothesis)","Hypothesis testing","Interpreting as probability the hypothesis is true"
Confidence Interval,"mean ± z * (std / sqrt(n))","Estimating population parameter","Confusing confidence level with probability"
Chi-Square,"sum((observed - expected)^2 / expected)","Testing independence of categories","Using with small expected frequencies (< 5)"
T-Test,"(mean1 - mean2) / SE","Comparing two group means","Not checking assumptions (normality, equal variance)"
ANOVA,"Between-group variance / Within-group variance","Comparing 3+ group means","Not doing post-hoc tests after significant ANOVA"
Linear Regression,"y = mx + b where m = cov(x,y)/var(x)","Predicting continuous outcome","Extrapolating beyond data range"
Bayes Theorem,"P(A|B) = P(B|A) * P(A) / P(B)","Updating probability with new evidence","Confusing P(A|B) with P(B|A)"
